run_id,ui_version,healer_mode,test_name,status,success,healed_steps,baseline_steps,failed_steps,details
20260420_202555_591922,version_2,heuristic,multi_add_to_cart_test,passed,True,1,3,0,"{""test_name"": ""multi_add_to_cart_test"", ""step_logs"": [{""test_case"": ""multi_add_to_cart_test"", ""page_name"": ""inventory"", ""element_name"": ""add_backpack"", ""original_locator"": ""add-backpack"", ""locator_type"": ""id"", ""requested_locator"": ""id=add-backpack"", ""healed"": true, ""healing_score"": 0.8107692307692308, ""healed_by"": ""button#add-backpack-v"", ""status"": ""heal_success"", ""error"": ""Message: no such element: Unable to locate element: {\""method\"":\""css selector\"",\""selector\"":\""[id=\""add-backpack\""]\""}\n  (Session info: chrome=147.0.7727.56); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception\nStac..."", ""timestamp"": ""20260420_202555_660065"", ""healed_locator"": ""button#add-backpack-v"", ""healed_candidate"": {""tag"": ""button"", ""text"": ""Add to cart"", ""element_id"": ""add-backpack-v"", ""name"": """", ""class_name"": """", ""placeholder"": """", ""aria_label"": """", ""type_attr"": """", ""value_attr"": """", ""parent_tag"": ""div"", ""sibling_count"": 2, ""dom_depth"": 5, ""css_path_hint"": ""button#add-backpack-v""}, ""score_breakdown"": {""tag_match"": 1, ""text_similarity"": 1.0, ""attribute_similarity"": 0.9230769230769231, ""class_similarity"": 0, ""parent_similarity"": 1, ""depth_similarity"": 0.8, ""total_score"": 0.8107692307692308}, ""dom_file"": ""data\\raw_dom\\multi_add_to_cart_test__add_backpack__20260420_202558_760092.html"", ""dom_meta_file"": ""data\\raw_dom\\multi_add_to_cart_test__add_backpack__20260420_202558_760092.json""}, {""test_case"": ""multi_add_to_cart_test"", ""page_name"": ""inventory"", ""element_name"": ""add_bike"", ""original_locator"": ""add-bike"", ""locator_type"": ""id"", ""requested_locator"": ""id=add-bike"", ""healed"": false, ""healing_score"": null, ""healed_by"": null, ""status"": ""baseline_success"", ""error"": """", ""timestamp"": ""20260420_202558_900616""}, {""test_case"": ""multi_add_to_cart_test"", ""page_name"": ""inventory"", ""element_name"": ""add_shirt"", ""original_locator"": ""add-shirt"", ""locator_type"": ""id"", ""requested_locator"": ""id=add-shirt"", ""healed"": false, ""healing_score"": null, ""healed_by"": null, ""status"": ""baseline_success"", ""error"": """", ""timestamp"": ""20260420_202559_145858""}, {""test_case"": ""multi_add_to_cart_test"", ""page_name"": ""inventory"", ""element_name"": ""shopping_cart_link"", ""original_locator"": ""shopping_cart_link"", ""locator_type"": ""id"", ""requested_locator"": ""id=shopping_cart_link"", ""healed"": false, ""healing_score"": null, ""healed_by"": null, ""status"": ""baseline_success"", ""error"": """", ""timestamp"": ""20260420_202559_295179""}]}"
20260420_202555_591922,version_2,heuristic,checkout_form_test,passed,True,3,1,0,"{""test_name"": ""checkout_form_test"", ""step_logs"": [{""test_case"": ""checkout_form_test"", ""page_name"": ""checkout"", ""element_name"": ""first_name"", ""original_locator"": ""first-name"", ""locator_type"": ""id"", ""requested_locator"": ""id=first-name"", ""healed"": true, ""healing_score"": 0.64, ""healed_by"": ""input#first-name-v"", ""status"": ""heal_success"", ""error"": ""Message: no such element: Unable to locate element: {\""method\"":\""css selector\"",\""selector\"":\""[id=\""first-name\""]\""}\n  (Session info: chrome=147.0.7727.56); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception\nStackt..."", ""timestamp"": ""20260420_202559_589376"", ""healed_locator"": ""input#first-name-v"", ""healed_candidate"": {""tag"": ""input"", ""text"": """", ""element_id"": ""first-name-v"", ""name"": """", ""class_name"": """", ""placeholder"": ""First Name"", ""aria_label"": """", ""type_attr"": """", ""value_attr"": """", ""parent_tag"": ""body"", ""sibling_count"": 5, ""dom_depth"": 3, ""css_path_hint"": ""input#first-name-v""}, ""score_breakdown"": {""tag_match"": 1, ""text_similarity"": 0, ""attribute_similarity"": 1.0, ""class_similarity"": 0, ""parent_similarity"": 1, ""depth_similarity"": 0.9, ""total_score"": 0.64}, ""dom_file"": ""data\\raw_dom\\checkout_form_test__first_name__20260420_202602_678216.html"", ""dom_meta_file"": ""data\\raw_dom\\checkout_form_test__first_name__20260420_202602_678216.json""}, {""test_case"": ""checkout_form_test"", ""page_name"": ""checkout"", ""element_name"": ""last_name"", ""original_locator"": ""last-name"", ""locator_type"": ""id"", ""requested_locator"": ""id=last-name"", ""healed"": true, ""healing_score"": 0.64, ""healed_by"": ""input#last-name-v"", ""status"": ""heal_success"", ""error"": ""Message: no such element: Unable to locate element: {\""method\"":\""css selector\"",\""selector\"":\""[id=\""last-name\""]\""}\n  (Session info: chrome=147.0.7727.56); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception\nStacktr..."", ""timestamp"": ""20260420_202602_696034"", ""healed_locator"": ""input#last-name-v"", ""healed_candidate"": {""tag"": ""input"", ""text"": """", ""element_id"": ""last-name-v"", ""name"": """", ""class_name"": """", ""placeholder"": ""Last Name"", ""aria_label"": """", ""type_attr"": """", ""value_attr"": """", ""parent_tag"": ""body"", ""sibling_count"": 5, ""dom_depth"": 3, ""css_path_hint"": ""input#last-name-v""}, ""score_breakdown"": {""tag_match"": 1, ""text_similarity"": 0, ""attribute_similarity"": 1.0, ""class_similarity"": 0, ""parent_similarity"": 1, ""depth_similarity"": 0.9, ""total_score"": 0.64}, ""dom_file"": ""data\\raw_dom\\checkout_form_test__last_name__20260420_202605_795282.html"", ""dom_meta_file"": ""data\\raw_dom\\checkout_form_test__last_name__20260420_202605_795282.json""}, {""test_case"": ""checkout_form_test"", ""page_name"": ""checkout"", ""element_name"": ""postal_code"", ""original_locator"": ""postal-code"", ""locator_type"": ""id"", ""requested_locator"": ""id=postal-code"", ""healed"": true, ""healing_score"": 0.64, ""healed_by"": ""input#postal-code-v"", ""status"": ""heal_success"", ""error"": ""Message: no such element: Unable to locate element: {\""method\"":\""css selector\"",\""selector\"":\""[id=\""postal-code\""]\""}\n  (Session info: chrome=147.0.7727.56); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception\nStack..."", ""timestamp"": ""20260420_202605_816017"", ""healed_locator"": ""input#postal-code-v"", ""healed_candidate"": {""tag"": ""input"", ""text"": """", ""element_id"": ""postal-code-v"", ""name"": """", ""class_name"": """", ""placeholder"": ""Postal Code"", ""aria_label"": """", ""type_attr"": """", ""value_attr"": """", ""parent_tag"": ""body"", ""sibling_count"": 5, ""dom_depth"": 3, ""css_path_hint"": ""input#postal-code-v""}, ""score_breakdown"": {""tag_match"": 1, ""text_similarity"": 0, ""attribute_similarity"": 1.0, ""class_similarity"": 0, ""parent_similarity"": 1, ""depth_similarity"": 0.9, ""total_score"": 0.64}, ""dom_file"": ""data\\raw_dom\\checkout_form_test__postal_code__20260420_202608_913413.html"", ""dom_meta_file"": ""data\\raw_dom\\checkout_form_test__postal_code__20260420_202608_913413.json""}, {""test_case"": ""checkout_form_test"", ""page_name"": ""checkout"", ""element_name"": ""finish_button"", ""original_locator"": ""finish-button"", ""locator_type"": ""id"", ""requested_locator"": ""id=finish-button"", ""healed"": false, ""healing_score"": null, ""healed_by"": null, ""status"": ""baseline_success"", ""error"": """", ""timestamp"": ""20260420_202608_933611""}]}"
20260420_202555_591922,version_2,heuristic,products_listing_test,passed,True,1,3,0,"{""test_name"": ""products_listing_test"", ""step_logs"": [{""test_case"": ""products_listing_test"", ""page_name"": ""inventory"", ""element_name"": ""inventory_title"", ""original_locator"": ""inventory-title"", ""locator_type"": ""id"", ""requested_locator"": ""id=inventory-title"", ""healed"": false, ""healing_score"": null, ""healed_by"": null, ""status"": ""baseline_success"", ""error"": """", ""timestamp"": ""20260420_202609_295487""}, {""test_case"": ""products_listing_test"", ""page_name"": ""inventory"", ""element_name"": ""product_backpack"", ""original_locator"": ""product-backpack"", ""locator_type"": ""id"", ""requested_locator"": ""id=product-backpack"", ""healed"": false, ""healing_score"": null, ""healed_by"": null, ""status"": ""baseline_success"", ""error"": """", ""timestamp"": ""20260420_202609_408466""}, {""test_case"": ""products_listing_test"", ""page_name"": ""inventory"", ""element_name"": ""product_bike"", ""original_locator"": ""product-bike"", ""locator_type"": ""id"", ""requested_locator"": ""id=product-bike"", ""healed"": true, ""healing_score"": 0.8107692307692308, ""healed_by"": ""p#product-bike-v"", ""status"": ""heal_success"", ""error"": ""Message: no such element: Unable to locate element: {\""method\"":\""css selector\"",\""selector\"":\""[id=\""product-bike\""]\""}\n  (Session info: chrome=147.0.7727.56); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception\nStac..."", ""timestamp"": ""20260420_202609_527081"", ""healed_locator"": ""p#product-bike-v"", ""healed_candidate"": {""tag"": ""p"", ""text"": ""Bike Light"", ""element_id"": ""product-bike-v"", ""name"": """", ""class_name"": """", ""placeholder"": """", ""aria_label"": """", ""type_attr"": """", ""value_attr"": """", ""parent_tag"": ""div"", ""sibling_count"": 2, ""dom_depth"": 5, ""css_path_hint"": ""p#product-bike-v""}, ""score_breakdown"": {""tag_match"": 1, ""text_similarity"": 1.0, ""attribute_similarity"": 0.9230769230769231, ""class_similarity"": 0, ""parent_similarity"": 1, ""depth_similarity"": 0.8, ""total_score"": 0.8107692307692308}, ""dom_file"": ""data\\raw_dom\\products_listing_test__product_bike__20260420_202612_558987.html"", ""dom_meta_file"": ""data\\raw_dom\\products_listing_test__product_bike__20260420_202612_558987.json""}, {""test_case"": ""products_listing_test"", ""page_name"": ""inventory"", ""element_name"": ""product_shirt"", ""original_locator"": ""product-shirt"", ""locator_type"": ""id"", ""requested_locator"": ""id=product-shirt"", ""healed"": false, ""healing_score"": null, ""healed_by"": null, ""status"": ""baseline_success"", ""error"": """", ""timestamp"": ""20260420_202612_583110""}]}"
20260420_202555_591922,version_2,heuristic,home_navigation_test,error,False,0,0,1,"Message: Healing ranked a candidate but could not resolve it in the live DOM for home_navigation_test/nav_login.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception

Traceback (most recent call last):
  File ""E:\EB1A_Research\self_healing_stage_a\self_healing_stage_a\run_experiment.py"", line 204, in run_suite
    success, details = fn(driver, healer, base_root_url)
                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""E:\EB1A_Research\self_healing_stage_a\self_healing_stage_a\tests\test_home_navigation.py"", line 20, in run_home_navigation_test
    el, log = healer.find_element(driver,""home_navigation_test"",""index"",name,""id"",locator)
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""E:\EB1A_Research\self_healing_stage_a\self_healing_stage_a\healing\self_heal_engine.py"", line 177, in find_element
    raise NoSuchElementException(
selenium.common.exceptions.NoSuchElementException: Message: Healing ranked a candidate but could not resolve it in the live DOM for home_navigation_test/nav_login.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception

"
20260420_202555_591922,version_2,heuristic,cart_page_test,passed,True,1,3,0,"{""test_name"": ""cart_page_test"", ""step_logs"": [{""test_case"": ""cart_page_test"", ""page_name"": ""cart"", ""element_name"": ""cart_title"", ""original_locator"": ""cart-title"", ""locator_type"": ""id"", ""requested_locator"": ""id=cart-title"", ""healed"": true, ""healing_score"": 0.8172727272727273, ""healed_by"": ""h2#cart-title-v"", ""status"": ""heal_success"", ""error"": ""Message: no such element: Unable to locate element: {\""method\"":\""css selector\"",\""selector\"":\""[id=\""cart-title\""]\""}\n  (Session info: chrome=147.0.7727.56); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception\nStackt..."", ""timestamp"": ""20260420_202618_979097"", ""healed_locator"": ""h2#cart-title-v"", ""healed_candidate"": {""tag"": ""h2"", ""text"": ""Shopping Cart"", ""element_id"": ""cart-title-v"", ""name"": """", ""class_name"": """", ""placeholder"": """", ""aria_label"": """", ""type_attr"": """", ""value_attr"": """", ""parent_tag"": ""body"", ""sibling_count"": 4, ""dom_depth"": 3, ""css_path_hint"": ""h2#cart-title-v""}, ""score_breakdown"": {""tag_match"": 1, ""text_similarity"": 1.0, ""attribute_similarity"": 0.9090909090909091, ""class_similarity"": 0, ""parent_similarity"": 1, ""depth_similarity"": 0.9, ""total_score"": 0.8172727272727273}, ""dom_file"": ""data\\raw_dom\\cart_page_test__cart_title__20260420_202622_030309.html"", ""dom_meta_file"": ""data\\raw_dom\\cart_page_test__cart_title__20260420_202622_030309.json""}, {""test_case"": ""cart_page_test"", ""page_name"": ""cart"", ""element_name"": ""cart_item1"", ""original_locator"": ""cart-item1"", ""locator_type"": ""id"", ""requested_locator"": ""id=cart-item1"", ""healed"": false, ""healing_score"": null, ""healed_by"": null, ""status"": ""baseline_success"", ""error"": """", ""timestamp"": ""20260420_202622_048274""}, {""test_case"": ""cart_page_test"", ""page_name"": ""cart"", ""element_name"": ""cart_item2"", ""original_locator"": ""cart-item2"", ""locator_type"": ""id"", ""requested_locator"": ""id=cart-item2"", ""healed"": false, ""healing_score"": null, ""healed_by"": null, ""status"": ""baseline_success"", ""error"": """", ""timestamp"": ""20260420_202622_145421""}, {""test_case"": ""cart_page_test"", ""page_name"": ""cart"", ""element_name"": ""checkout_link"", ""original_locator"": ""checkout-link"", ""locator_type"": ""id"", ""requested_locator"": ""id=checkout-link"", ""healed"": false, ""healing_score"": null, ""healed_by"": null, ""status"": ""baseline_success"", ""error"": """", ""timestamp"": ""20260420_202622_250968""}]}"
20260420_202555_591922,version_2,heuristic,navigation_flow_test,error,False,0,0,1,"Message: Healing ranked a candidate but could not resolve it in the live DOM for navigation_flow_test/nav_login.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception

Traceback (most recent call last):
  File ""E:\EB1A_Research\self_healing_stage_a\self_healing_stage_a\run_experiment.py"", line 204, in run_suite
    success, details = fn(driver, healer, base_root_url)
                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""E:\EB1A_Research\self_healing_stage_a\self_healing_stage_a\tests\test_navigation_flow.py"", line 12, in run_navigation_flow_test
    nav_login, log1 = healer.find_element(driver,""navigation_flow_test"",""index"",""nav_login"",""id"",""nav-login"")
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""E:\EB1A_Research\self_healing_stage_a\self_healing_stage_a\healing\self_heal_engine.py"", line 177, in find_element
    raise NoSuchElementException(
selenium.common.exceptions.NoSuchElementException: Message: Healing ranked a candidate but could not resolve it in the live DOM for navigation_flow_test/nav_login.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception

"
20260420_202555_591922,version_2,heuristic,login_test,error,False,0,0,1,"Message: Healing ranked a candidate but could not resolve it in the live DOM for login_test/username_input.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception

Traceback (most recent call last):
  File ""E:\EB1A_Research\self_healing_stage_a\self_healing_stage_a\run_experiment.py"", line 204, in run_suite
    success, details = fn(driver, healer, base_root_url)
                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""E:\EB1A_Research\self_healing_stage_a\self_healing_stage_a\tests\test_login.py"", line 12, in run_login_test
    username, log1 = healer.find_element(
                     ^^^^^^^^^^^^^^^^^^^^
  File ""E:\EB1A_Research\self_healing_stage_a\self_healing_stage_a\healing\self_heal_engine.py"", line 177, in find_element
    raise NoSuchElementException(
selenium.common.exceptions.NoSuchElementException: Message: Healing ranked a candidate but could not resolve it in the live DOM for login_test/username_input.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception

"
20260420_202555_591922,version_2,heuristic,inventory_test,passed,True,1,1,0,"{""test_name"": ""inventory_test"", ""step_logs"": [{""test_case"": ""inventory_test"", ""page_name"": ""inventory"", ""element_name"": ""add_backpack_button"", ""original_locator"": ""add-backpack"", ""locator_type"": ""id"", ""requested_locator"": ""id=add-backpack"", ""healed"": true, ""healing_score"": 0.8107692307692308, ""healed_by"": ""button#add-backpack-v"", ""status"": ""heal_success"", ""error"": ""Message: no such element: Unable to locate element: {\""method\"":\""css selector\"",\""selector\"":\""[id=\""add-backpack\""]\""}\n  (Session info: chrome=147.0.7727.56); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception\nStac..."", ""timestamp"": ""20260420_202635_928474"", ""healed_locator"": ""button#add-backpack-v"", ""healed_candidate"": {""tag"": ""button"", ""text"": ""Add to cart"", ""element_id"": ""add-backpack-v"", ""name"": """", ""class_name"": """", ""placeholder"": """", ""aria_label"": """", ""type_attr"": """", ""value_attr"": """", ""parent_tag"": ""div"", ""sibling_count"": 2, ""dom_depth"": 5, ""css_path_hint"": ""button#add-backpack-v""}, ""score_breakdown"": {""tag_match"": 1, ""text_similarity"": 1.0, ""attribute_similarity"": 0.9230769230769231, ""class_similarity"": 0, ""parent_similarity"": 1, ""depth_similarity"": 0.8, ""total_score"": 0.8107692307692308}, ""dom_file"": ""data\\raw_dom\\inventory_test__add_backpack_button__20260420_202641_000239.html"", ""dom_meta_file"": ""data\\raw_dom\\inventory_test__add_backpack_button__20260420_202641_000239.json""}, {""test_case"": ""inventory_test"", ""page_name"": ""inventory"", ""element_name"": ""shopping_cart_link"", ""original_locator"": ""shopping_cart_link"", ""locator_type"": ""id"", ""requested_locator"": ""id=shopping_cart_link"", ""healed"": false, ""healing_score"": null, ""healed_by"": null, ""status"": ""baseline_success"", ""error"": """", ""timestamp"": ""20260420_202641_021476""}]}"
20260420_202646_362244,version_3,heuristic,checkout_form_test,passed,True,3,1,0,"{""test_name"": ""checkout_form_test"", ""step_logs"": [{""test_case"": ""checkout_form_test"", ""page_name"": ""checkout"", ""element_name"": ""first_name"", ""original_locator"": ""first-name"", ""locator_type"": ""id"", ""requested_locator"": ""id=first-name"", ""healed"": true, ""healing_score"": 0.64, ""healed_by"": ""input#first-name-v"", ""status"": ""heal_success"", ""error"": ""Message: no such element: Unable to locate element: {\""method\"":\""css selector\"",\""selector\"":\""[id=\""first-name\""]\""}\n  (Session info: chrome=147.0.7727.56); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception\nStackt..."", ""timestamp"": ""20260420_202646_444017"", ""healed_locator"": ""input#first-name-v"", ""healed_candidate"": {""tag"": ""input"", ""text"": """", ""element_id"": ""first-name-v"", ""name"": """", ""class_name"": """", ""placeholder"": ""First Name"", ""aria_label"": """", ""type_attr"": """", ""value_attr"": """", ""parent_tag"": ""body"", ""sibling_count"": 5, ""dom_depth"": 3, ""css_path_hint"": ""input#first-name-v""}, ""score_breakdown"": {""tag_match"": 1, ""text_similarity"": 0, ""attribute_similarity"": 1.0, ""class_similarity"": 0, ""parent_similarity"": 1, ""depth_similarity"": 0.9, ""total_score"": 0.64}, ""dom_file"": ""data\\raw_dom\\checkout_form_test__first_name__20260420_202649_466143.html"", ""dom_meta_file"": ""data\\raw_dom\\checkout_form_test__first_name__20260420_202649_466143.json""}, {""test_case"": ""checkout_form_test"", ""page_name"": ""checkout"", ""element_name"": ""last_name"", ""original_locator"": ""last-name"", ""locator_type"": ""id"", ""requested_locator"": ""id=last-name"", ""healed"": true, ""healing_score"": 0.64, ""healed_by"": ""input#last-name-v"", ""status"": ""heal_success"", ""error"": ""Message: no such element: Unable to locate element: {\""method\"":\""css selector\"",\""selector\"":\""[id=\""last-name\""]\""}\n  (Session info: chrome=147.0.7727.56); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception\nStacktr..."", ""timestamp"": ""20260420_202649_483863"", ""healed_locator"": ""input#last-name-v"", ""healed_candidate"": {""tag"": ""input"", ""text"": """", ""element_id"": ""last-name-v"", ""name"": """", ""class_name"": """", ""placeholder"": ""Last Name"", ""aria_label"": """", ""type_attr"": """", ""value_attr"": """", ""parent_tag"": ""body"", ""sibling_count"": 5, ""dom_depth"": 3, ""css_path_hint"": ""input#last-name-v""}, ""score_breakdown"": {""tag_match"": 1, ""text_similarity"": 0, ""attribute_similarity"": 1.0, ""class_similarity"": 0, ""parent_similarity"": 1, ""depth_similarity"": 0.9, ""total_score"": 0.64}, ""dom_file"": ""data\\raw_dom\\checkout_form_test__last_name__20260420_202652_560285.html"", ""dom_meta_file"": ""data\\raw_dom\\checkout_form_test__last_name__20260420_202652_560285.json""}, {""test_case"": ""checkout_form_test"", ""page_name"": ""checkout"", ""element_name"": ""postal_code"", ""original_locator"": ""postal-code"", ""locator_type"": ""id"", ""requested_locator"": ""id=postal-code"", ""healed"": true, ""healing_score"": 0.6191666666666666, ""healed_by"": ""input#postal-code-v"", ""status"": ""heal_success"", ""error"": ""Message: no such element: Unable to locate element: {\""method\"":\""css selector\"",\""selector\"":\""[id=\""postal-code\""]\""}\n  (Session info: chrome=147.0.7727.56); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception\nStack..."", ""timestamp"": ""20260420_202652_577664"", ""healed_locator"": ""input#postal-code-v"", ""healed_candidate"": {""tag"": ""input"", ""text"": """", ""element_id"": ""postal-code-v"", ""name"": """", ""class_name"": """", ""placeholder"": ""ZIP Code"", ""aria_label"": """", ""type_attr"": """", ""value_attr"": """", ""parent_tag"": ""body"", ""sibling_count"": 5, ""dom_depth"": 3, ""css_path_hint"": ""input#postal-code-v""}, ""score_breakdown"": {""tag_match"": 1, ""text_similarity"": 0, ""attribute_similarity"": 0.9166666666666666, ""class_similarity"": 0, ""parent_similarity"": 1, ""depth_similarity"": 0.9, ""total_score"": 0.6191666666666666}, ""dom_file"": ""data\\raw_dom\\checkout_form_test__postal_code__20260420_202655_643214.html"", ""dom_meta_file"": ""data\\raw_dom\\checkout_form_test__postal_code__20260420_202655_643214.json""}, {""test_case"": ""checkout_form_test"", ""page_name"": ""checkout"", ""element_name"": ""finish_button"", ""original_locator"": ""finish-button"", ""locator_type"": ""id"", ""requested_locator"": ""id=finish-button"", ""healed"": false, ""healing_score"": null, ""healed_by"": null, ""status"": ""baseline_success"", ""error"": """", ""timestamp"": ""20260420_202655_663739""}]}"
20260420_202646_362244,version_3,heuristic,multi_add_to_cart_test,passed,True,1,3,0,"{""test_name"": ""multi_add_to_cart_test"", ""step_logs"": [{""test_case"": ""multi_add_to_cart_test"", ""page_name"": ""inventory"", ""element_name"": ""add_backpack"", ""original_locator"": ""add-backpack"", ""locator_type"": ""id"", ""requested_locator"": ""id=add-backpack"", ""healed"": true, ""healing_score"": 0.8007692307692308, ""healed_by"": ""button#add-backpack-v"", ""status"": ""heal_success"", ""error"": ""Message: no such element: Unable to locate element: {\""method\"":\""css selector\"",\""selector\"":\""[id=\""add-backpack\""]\""}\n  (Session info: chrome=147.0.7727.56); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception\nStac..."", ""timestamp"": ""20260420_202656_034850"", ""healed_locator"": ""button#add-backpack-v"", ""healed_candidate"": {""tag"": ""button"", ""text"": ""Add to cart"", ""element_id"": ""add-backpack-v"", ""name"": """", ""class_name"": """", ""placeholder"": """", ""aria_label"": """", ""type_attr"": """", ""value_attr"": """", ""parent_tag"": ""div"", ""sibling_count"": 2, ""dom_depth"": 6, ""css_path_hint"": ""button#add-backpack-v""}, ""score_breakdown"": {""tag_match"": 1, ""text_similarity"": 1.0, ""attribute_similarity"": 0.9230769230769231, ""class_similarity"": 0, ""parent_similarity"": 1, ""depth_similarity"": 0.7, ""total_score"": 0.8007692307692308}, ""dom_file"": ""data\\raw_dom\\multi_add_to_cart_test__add_backpack__20260420_202659_110295.html"", ""dom_meta_file"": ""data\\raw_dom\\multi_add_to_cart_test__add_backpack__20260420_202659_110295.json""}, {""test_case"": ""multi_add_to_cart_test"", ""page_name"": ""inventory"", ""element_name"": ""add_bike"", ""original_locator"": ""add-bike"", ""locator_type"": ""id"", ""requested_locator"": ""id=add-bike"", ""healed"": false, ""healing_score"": null, ""healed_by"": null, ""status"": ""baseline_success"", ""error"": """", ""timestamp"": ""20260420_202659_210130""}, {""test_case"": ""multi_add_to_cart_test"", ""page_name"": ""inventory"", ""element_name"": ""add_shirt"", ""original_locator"": ""add-shirt"", ""locator_type"": ""id"", ""requested_locator"": ""id=add-shirt"", ""healed"": false, ""healing_score"": null, ""healed_by"": null, ""status"": ""baseline_success"", ""error"": """", ""timestamp"": ""20260420_202659_374159""}, {""test_case"": ""multi_add_to_cart_test"", ""page_name"": ""inventory"", ""element_name"": ""shopping_cart_link"", ""original_locator"": ""shopping_cart_link"", ""locator_type"": ""id"", ""requested_locator"": ""id=shopping_cart_link"", ""healed"": false, ""healing_score"": null, ""healed_by"": null, ""status"": ""baseline_success"", ""error"": """", ""timestamp"": ""20260420_202659_532540""}]}"
